WKT	type	lat	lon	osm_id	osm_way_id	amenity	name	name:fr	name:en	health_facility:type	healthcare	id:uuid	is_in:health_area	 is_in:health_zone	building:levels	building:material	building:condition	addr:housenumber	 addr:street	 addr:city	source	source:data	source:date	source:name	source_ref	survey:date	 note	 attribution	other_tags
"MULTIPOLYGON (((18.8218423 -5.0308665,18.8222026 -5.0307299,18.8222378 -5.0308218,18.8218774 -5.0309584,18.8218423 -5.0308665)))"	multipolygons	-5.03084415	18.8220400418192		"477380050"	school	Institut Ngemba																						
"MULTIPOLYGON (((18.8217317 -5.030041,18.8219161 -5.0299756,18.8219403 -5.0300434,18.8217462 -5.0301122,18.821722 -5.0300444,18.8217317 -5.030041)))"	multipolygons	-5.0300439	18.8218311579301		"477380051"	school	Institut Ngemba																						
"MULTIPOLYGON (((18.8216515 -5.0301979,18.8217576 -5.0301627,18.8217785 -5.0302253,18.8217692 -5.0302284,18.8219104 -5.0306513,18.8219249 -5.0306465,18.8219458 -5.0307093,18.8218356 -5.0307458,18.8218131 -5.0306787,18.8218241 -5.0306751,18.8216871 -5.030265,18.8216752 -5.0302689,18.8216515 -5.0301979)))"	multipolygons	-5.0304577	18.8217986170738		"477380052"	school	Institut Ngemba																						
"MULTIPOLYGON (((18.8214903 -5.0296587,18.8217589 -5.029723,18.8217136 -5.0299109,18.8214381 -5.0298449,18.8214441 -5.0298202,18.8214044 -5.0298107,18.8214387 -5.0296684,18.8214853 -5.0296796,18.8214903 -5.0296587)))"	multipolygons	-5.02976685	18.8215816489996		"477380055"	college	"Institut supérieur pédagogique (ISP/Kikwit), Nouveau site"																						
"MULTIPOLYGON (((18.8207584 -5.0297771,18.8209862 -5.029834,18.8209727 -5.0298876,18.8210321 -5.0299025,18.8210451 -5.0298509,18.8212119 -5.0298925,18.8211617 -5.0300921,18.8210021 -5.0300522,18.8210128 -5.0300098,18.8208386 -5.0299663,18.8208455 -5.0299387,18.8207253 -5.0299087,18.8207584 -5.0297771)))"	multipolygons	-5.0299237	18.8209947265531		"477380056"	college	"Institut supérieur pédagogique (ISP/Kikwit), Nouveau site"																						
"MULTIPOLYGON (((18.8201568 -5.0296395,18.8205002 -5.0297211,18.8204789 -5.0298099,18.8203502 -5.0297793,18.8203554 -5.0297579,18.8201407 -5.0297069,18.8201568 -5.0296395)))"	multipolygons	-5.0297395	18.8203868630472		"477380057"	college	"Institut supérieur pédagogique (ISP/Kikwit), Nouveau site"																						
"MULTIPOLYGON (((18.81921 -5.0296656,18.8192343 -5.0295742,18.8193103 -5.0295943,18.819315 -5.0295768,18.8194373 -5.0296091,18.819443 -5.0295875,18.819546 -5.0296146,18.8195514 -5.0295945,18.819663 -5.029624,18.8196578 -5.0296435,18.8197061 -5.0296563,18.8197002 -5.0296782,18.8197578 -5.0296934,18.8197458 -5.0297383,18.8197929 -5.0297507,18.8197732 -5.0298248,18.8197205 -5.0298109,18.8197272 -5.0297861,18.8196816 -5.029774,18.819686 -5.0297573,18.8196342 -5.0297437,18.8196387 -5.029727,18.819536 -5.0297,18.8195306 -5.0297203,18.819423 -5.0296919,18.8194188 -5.0297076,18.8193019 -5.0296768,18.8192987 -5.029689,18.81921 -5.0296656)))"	multipolygons	-5.0296967	18.8195990519778		"477380059"	college	"Institut supérieur pédagogique (ISP/Kikwit), Nouveau site"																						
"MULTIPOLYGON (((18.8203338 -5.0298749,18.8204431 -5.0298984,18.8204209 -5.0300006,18.8203019 -5.0299749,18.8203093 -5.0299408,18.8202072 -5.0299188,18.8202033 -5.0299367,18.8201252 -5.0299199,18.8201209 -5.0299397,18.8199978 -5.0299131,18.8200251 -5.0297876,18.8201405 -5.0298124,18.8201427 -5.0298021,18.8202243 -5.0298197,18.8202267 -5.0298086,18.8203428 -5.0298337,18.8203338 -5.0298749)))"	multipolygons	-5.02988665	18.8201960018327		"477380060"	college	"Institut supérieur pédagogique (ISP/Kikwit), Nouveau site"																						
"MULTIPOLYGON (((18.8206106 -5.0300546,18.8208307 -5.0301109,18.8208047 -5.0302116,18.8205846 -5.0301553,18.8206106 -5.0300546)))"	multipolygons	-5.0301331	18.82070765		"477380061"	college	"Institut supérieur pédagogique (ISP/Kikwit), Nouveau site"																						
"MULTIPOLYGON (((18.8202006 -5.0301222,18.8203592 -5.0301577,18.8203327 -5.0302754,18.8201628 -5.0302373,18.8201722 -5.0301955,18.820052 -5.0301686,18.8200489 -5.0301823,18.8199159 -5.0301525,18.8199394 -5.0300486,18.8200669 -5.0300771,18.8200712 -5.0300581,18.8202082 -5.0300888,18.8202006 -5.0301222)))"	multipolygons	-5.03016315	18.8201607024094		"477380062"	college	"Institut supérieur pédagogique (ISP/Kikwit), Nouveau site"																						
"MULTIPOLYGON (((18.8193818 -5.0298734,18.8194332 -5.0298855,18.8194281 -5.0299066,18.8194725 -5.0299171,18.8194665 -5.0299421,18.8195178 -5.0299542,18.8195125 -5.0299766,18.819591 -5.0299951,18.8195949 -5.0299787,18.8196724 -5.0299971,18.8196763 -5.0299808,18.8197585 -5.0300003,18.8197623 -5.029984,18.8198642 -5.0300081,18.8198437 -5.0300939,18.819753 -5.0300724,18.8197481 -5.0300932,18.8196698 -5.0300747,18.8196657 -5.0300922,18.8195912 -5.0300746,18.8195871 -5.0300921,18.8194904 -5.0300692,18.8194952 -5.0300492,18.8194393 -5.030036,18.8194458 -5.0300087,18.8193924 -5.0299961,18.8193983 -5.0299718,18.8193605 -5.0299628,18.8193818 -5.0298734)))"	multipolygons	-5.0299824	18.8194664185741		"477380063"	college	"Institut supérieur pédagogique (ISP/Kikwit), Nouveau site"																						
"MULTIPOLYGON (((18.8195019 -5.0304549,18.8196195 -5.0304822,18.8195973 -5.0305775,18.8194797 -5.0305502,18.8195019 -5.0304549)))"	multipolygons	-5.0305162	18.8195496		"477380064"	college	"Institut supérieur pédagogique (ISP/Kikwit), Nouveau site"																						
"MULTIPOLYGON (((18.8194388 -5.0302369,18.8196342 -5.0302853,18.8196469 -5.0302346,18.8198432 -5.0302833,18.8198358 -5.030313,18.82004 -5.0303636,18.8200232 -5.0304306,18.8198108 -5.030378,18.8198176 -5.0303507,18.8196806 -5.0303168,18.8196553 -5.0304179,18.8196123 -5.0304073,18.8196246 -5.0303584,18.819421 -5.0303079,18.8194388 -5.0302369)))"	multipolygons	-5.03033375	18.8198343190711		"477380065"	college	"Institut supérieur pédagogique (ISP/Kikwit), Nouveau site"																						
"MULTIPOLYGON (((18.8179788 -5.0399943,18.8189345 -5.0398654,18.8189381 -5.0398917,18.819012 -5.0398817,18.8190508 -5.0401673,18.8189631 -5.0401791,18.8189361 -5.0399806,18.818359 -5.0400584,18.8183557 -5.0400341,18.8179909 -5.0400833,18.8179788 -5.0399943)))"	multipolygons	-5.0400142	18.818334184758		"477380079"	school																							
"MULTIPOLYGON (((18.8201985 -5.0387105,18.8202622 -5.0387102,18.8202625 -5.0387589,18.8204139 -5.038756,18.8204156 -5.0388464,18.8201346 -5.0388517,18.8201329 -5.0387613,18.8201988 -5.0387601,18.8201985 -5.0387105)))"	multipolygons	-5.03880385	18.82027425		"477380106"	college	"Institut supérieur pédagogique (ISP/Kikwit), Ancien site"																						"""building""=>""yes"""
"MULTIPOLYGON (((18.8207331 -5.0384377,18.8208378 -5.0384276,18.8208552 -5.0386079,18.8206896 -5.0386238,18.8206817 -5.0385424,18.8207427 -5.0385365,18.8207331 -5.0384377)))"	multipolygons	-5.0384871	18.8207907210483		"477380109"	college	"Institut supérieur pédagogique (ISP/Kikwit), Ancien site"																						
"MULTIPOLYGON (((18.820602 -5.0383077,18.8209886 -5.0382615,18.8210026 -5.0383773,18.8206159 -5.0384236,18.820602 -5.0383077)))"	multipolygons	-5.0383425	18.820802283172		"477380110"	college	"Institut supérieur pédagogique (ISP/Kikwit), Ancien site"																						
"MULTIPOLYGON (((18.8208586 -5.0388335,18.8211684 -5.0388455,18.8211637 -5.038965,18.8208539 -5.038953,18.8208586 -5.0388335)))"	multipolygons	-5.03889925	18.82101115		"477380111"	college	"Institut supérieur pédagogique (ISP/Kikwit), Ancien site"																						"""building""=>""yes"""
"MULTIPOLYGON (((18.8224413 -5.0380988,18.8224343 -5.0381977,18.8225657 -5.0382069,18.8225726 -5.0381079,18.8224413 -5.0380988)))"	multipolygons	-5.0381528	18.8225034742818		"477380113"	university	"Université de Kikwit, bureaux administratifs"																						
