WKT	type	osm_id	lat	lon	place	abandoned:place	name	marker-color	marker-size
"POINT (28.8789013 -2.4957933)"	points	"588615449"	-2.4957933	28.8789013	locality		Lushoze	gray	"6"
"POINT (13.4484636 -5.6075584)"	points	"592571351"	-5.6075584	13.4484636	town		Kizulu	red	"10"
"POINT (15.515806 -4.328095)"	points	"600385490"	-4.328095	15.515806	suburb		Kinkole Pêcheurs	red	"10"
"POINT (23.3056798 2.4922532)"	points	"612105925"	2.4922532	23.3056798	town		Bunduki	red	"10"
"POINT (18.6357362 3.6529378)"	points	"612128950"	3.6529378	18.6357362	city		Libenge	red	"10"
"POINT (22.8726686 -9.6953428)"	points	"613409512"	-9.6953428	22.8726686	town		Sandoa	red	"10"
"POINT (28.001129 1.404476)"	points	"613411274"	1.404476	28.001129	village		Adusa	yellow	"8"
"POINT (28.0430385 1.3979495)"	points	"613411275"	1.3979495	28.0430385	village		Babeke	yellow	"8"
"POINT (27.9760664 1.3368607)"	points	"613411468"	1.3368607	27.9760664	village		Talisa Lokele	yellow	"8"
"POINT (27.9741978 1.3292838)"	points	"613411964"	1.3292838	27.9741978	village		Basiri	yellow	"8"
"POINT (27.0032919 1.6572)"	points	"613426361"	1.6572	27.0032919	town		Bomili	red	"10"
"POINT (27.9938589 2.1435115)"	points	"613450119"	2.1435115	27.9938589	town		Wamba	red	"10"
"POINT (28.292775 2.412075)"	points	"613456924"	2.412075	28.292775	town		Ingbea	red	"10"
"POINT (28.7015759 2.5257782)"	points	"613460485"	2.5257782	28.7015759	town		Andudu	red	"10"
"POINT (28.6949681 2.4819197)"	points	"613461489"	2.4819197	28.6949681	village		Nepoko	yellow	"8"
"POINT (28.9983754 1.8291163)"	points	"613464400"	1.8291163	28.9983754	village		Nduye	yellow	"8"
"POINT (29.035422 1.360333)"	points	"613478500"	1.360333	29.035422	town		Mambasa	red	"10"
"POINT (25.3200682 1.5564193)"	points	"613510125"	1.5564193	25.3200682	town		Banalia	red	"10"
"POINT (23.6105567 1.1473811)"	points	"613511898"	1.1473811	23.6105567	town		Yata	red	"10"
"POINT (22.9892965 1.9506298)"	points	"613519911"	1.9506298	22.9892965	village		Bolama	yellow	"8"
"POINT (23.8064822 1.1079463)"	points	"613525394"	1.1079463	23.8064822	town		Yalemba	red	"10"
"POINT (23.8430461 1.0384357)"	points	"613525406"	1.0384357	23.8430461	town		Boanga	red	"10"
